Sentence,Word,Vowel,No. of Targets,DefaultTarget1 (% of total vowel duration),DefaultTarget1Start (% of total vowel duration),DefaultTarget1End (% of total vowel duration),FormantTarget1,DefaultTarget2 (% of total vowel duration),DefaultTarget2Start (% of total vowel duration),DefaultTarget2End (% of total vowel duration),FormantTarget2,Comment
Pete will keep at the peak.,Pete,iː,2,15,5,20,min_2,85,80,90,max_2,Target2 and Formant2 only applies for diphthongs
Pete will keep at the peak.,keep,iː,2,15,5,20,min_2,85,80,90,max_2,Default target selection is determined by Vowel and Word
Pete will keep at the peak.,peak,iː,2,15,5,20,min_2,85,80,90,max_2,Default formant setting is predominantly determined by the vowel
Kit adeptly hid the baby’s bib.,Kit,ɪ,2,50,20,80,max_2/mid,,,Consider enabling overwriting formant settings and target selection at the same step
Kit adeptly hid the baby’s bib.,hid,ɪ,2,50,20,80,max_2/mid,,,"Consider manual entering of values as with some targets, it may not be possible to get an accurate reading for F1 and F2 simultaneously"
Kit adeptly hid the baby’s bib.,bib,ɪ,2,50,20,80,max_2/mid,,,See attached reference figure
Ted found a spider that was dead under the bed.,Ted,e,1,50,20,80,mid,,,
Ted found a spider that was dead under the bed.,dead,e,1,50,20,80,mid,,,
Ted found a spider that was dead under the bed.,bed,e,1,50,20,80,mid,,,
The bear doesn’t care for your yellow hair.,bear,eː,1,50,20,80,mid,,,
The bear doesn’t care for your yellow hair.,care,eː,1,50,20,80,mid,,,
The bear doesn’t care for your yellow hair.,hair,eː,1,50,20,80,mid,,,
Jack saw a bat and put it in his bag.,Jack,æ,1,50,20,80,max_1,,,
Jack saw a bat and put it in his bag.,bat,æ,1,50,20,80,max_1,,,
Jack saw a bat and put it in his bag.,bag,æ,1,50,20,80,max_1,,,
"At dusk, we bring the cup to the hut.",dusk,ɐ,1,50,20,80,min_diff_2_1,,,
"At dusk, we bring the cup to the hut.",cup,ɐ,1,50,20,80,min_diff_2_1,,,
"At dusk, we bring the cup to the hut.",hut,ɐ,1,50,20,80,min_diff_2_1,,,
He guards the nearby park after dark.,guards,ɐː,1,50,20,80,min_diff_2_1,,,
He guards the nearby park after dark.,park,ɐː,1,50,20,80,min_diff_2_1,,,
He guards the nearby park after dark.,dark,ɐː,1,50,20,80,min_diff_2_1,,,
Who’d place the food in their shoes?,Who’d,ʉː,1,50,20,80,mid,,,
Who’d place the food in their shoes?,food,ʉː,1,50,20,80,mid,,,
Who’d place the food in their shoes?,shoes,ʉː,1,50,20,80,mid,,,
Bert has heard a loud curse.,bert,ɜː,1,50,20,80,mid,,,
Bert has heard a loud curse.,heard,ɜː,1,50,20,80,mid,,,
Bert has heard a loud curse.,curse,ɜː,1,50,20,80,mid,,,
"Bob walks the dog, in the fog.",Bob,ɔ,1,50,20,80,min_2,,,
"Bob walks the dog, in the fog.",dog,ɔ,1,50,20,80,min_2,,,
"Bob walks the dog, in the fog.",fog,ɔ,1,50,20,80,min_2,,,
He bought cookie dough and a jar of sauce.,bought,oː,1,50,20,80,min_2,,,
He bought cookie dough and a jar of sauce.,sauce,oː,1,50,20,80,min_2,,,
"He bought a jar of sauce, as he was bored.",bought,oː,1,50,20,80,min_2,,,
"He bought a jar of sauce, as he was bored.",sauce,oː,1,50,20,80,min_2,,,
"He bought a jar of sauce, as he was bored.",bored,oː,1,50,20,80,min_2,,,
"The cook carefully stood next to the stove, to make sure that the dish was very good.",cook,ʊ,1,50,20,80,min_2,,,
"The cook carefully stood next to the stove, to make sure that the dish was very good.",stood,ʊ,1,50,20,80,min_2,,,
"The cook carefully stood next to the stove, to make sure that the dish was very good.",good,ʊ,1,50,20,80,min_2,,,
The space slowly fades with each day.,space,æɪ,2,15,5,20,min_diff_2_1,85,80,90,max_diff_2_1,
The space slowly fades with each day.,fades,æɪ,2,15,5,20,min_diff_2_1,85,80,90,max_diff_2_1,
The space slowly fades with each day.,day,æɪ,2,15,5,20,min_diff_2_1,85,80,90,max_diff_2_1,
The spies secretly hide a lot of dice.,spies,ɑe,2,15,5,20,max_1,85,80,90,max_2,
The spies secretly hide a lot of dice.,hide,ɑe,2,15,5,20,max_1,85,80,90,max_2,
The spies secretly hide a lot of dice.,dice,ɑe,2,15,5,20,max_1,85,80,90,max_2,
Boyd’s deep voice got lost in the void.,Boyd’s,oɪ,2,15,5,20,min_2,85,80,90,max_2,
Boyd’s deep voice got lost in the void.,voice,oɪ,2,15,5,20,min_2,85,80,90,max_2,
Boyd’s deep voice got lost in the void.,void,oɪ,2,15,5,20,min_2,85,80,90,max_2,
How’d you know that he bowed to the cows?,How’d,æɔ,2,15,5,20,max_2,85,80,90,min_2,
How’d you know that he bowed to the cows?,bowed,æɔ,2,15,5,20,max_2,85,80,90,min_2,
How’d you know that he bowed to the cows?,cows,æɔ,2,15,5,20,max_2,85,80,90,min_2,
"The bows and arrows were found on the boat, next to the coat.",bows,əʉ,2,15,5,20,time,85,80,90,max_2,
"The bows and arrows were found on the boat, next to the coat.",boat,əʉ,2,15,5,20,time,85,80,90,max_2,
"The bows and arrows were found on the boat, next to the coat.",coat,əʉ,2,15,5,20,time,85,80,90,max_2,
"The bows and arrows were found on the boat, next to a coat.",bows,əʉ,2,15,5,20,time,85,80,90,max_2,
"The bows and arrows were found on the boat, next to a coat.",boat,əʉ,2,15,5,20,time,85,80,90,max_2,
"The bows and arrows were found on the boat, next to a coat.",coat,əʉ,2,15,5,20,time,85,80,90,max_2,
He feared that the man with the beard won’t come here.,feared,ɪə,2,15,5,20,max_2,85,80,90,time,
He feared that the man with the beard won’t come here.,beard,ɪə,2,15,5,20,max_2,85,80,90,time,
He feared that the man with the beard won’t come here.,here,ɪə,2,15,5,20,max_2,85,80,90,time,
"The barber, the butcher, together with Peter, shattered the bottle to make it shorter.",barber,ə,1,50,20,80,mid,,,
"The barber, the butcher, together with Peter, shattered the bottle to make it shorter.",butcher,ə,1,50,20,80,mid,,,
"The barber, the butcher, together with Peter, shattered the bottle to make it shorter.",Peter,ə,1,50,20,80,mid,,,
"The barber, the butcher, together with Peter, shattered the bottle to make it shorter.",shattered,ə,1,50,20,80,mid,,,
"The barber, the butcher, together with Peter, shattered the bottle to make it shorter.",shorter,ə,1,50,20,80,mid,,,
